3.991989e+002;1.142993e+000
4.011274e+002;1.211257e+000
4.030559e+002;1.292508e+000
4.049844e+002;1.377729e+000
4.069129e+002;1.453696e+000
4.088414e+002;1.527774e+000
4.107699e+002;1.607880e+000
4.126984e+002;1.677062e+000
4.146269e+002;1.759576e+000
4.165554e+002;1.857493e+000
4.184839e+002;1.923525e+000
4.204124e+002;1.983348e+000
4.223409e+002;2.060899e+000
4.242694e+002;2.135211e+000
4.261979e+002;2.187965e+000
4.281264e+002;2.248949e+000
4.300549e+002;2.318011e+000
4.319834e+002;2.367977e+000
4.339119e+002;2.407239e+000
4.358404e+002;2.441121e+000
4.377689e+002;2.485281e+000
4.396974e+002;2.525332e+000
4.416259e+002;2.547721e+000
4.435544e+002;2.574210e+000
4.454829e+002;2.585753e+000
4.474114e+002;2.594317e+000
4.493399e+002;2.615304e+000
4.512684e+002;2.629818e+000
4.531969e+002;2.636878e+000
4.551254e+002;2.648115e+000
4.570539e+002;2.671751e+000
4.589824e+002;2.705516e+000
4.609109e+002;2.737689e+000
4.628394e+002;2.779156e+000
4.647679e+002;2.838382e+000
4.666964e+002;2.915991e+000
4.686248e+002;3.015340e+000
4.705533e+002;3.120754e+000
4.724818e+002;3.236424e+000
4.744103e+002;3.355574e+000
4.763388e+002;3.471567e+000
4.782673e+002;3.593713e+000
4.801958e+002;3.718791e+000
4.821243e+002;3.829562e+000
4.840528e+002;3.929928e+000
4.859813e+002;4.024641e+000
4.879098e+002;4.112371e+000
4.898383e+002;4.196033e+000
4.917668e+002;4.277803e+000
4.936953e+002;4.353418e+000
4.956238e+002;4.426079e+000
4.975523e+002;4.492627e+000
4.994808e+002;4.554363e+000
5.014093e+002;4.607474e+000
5.033378e+002;4.661408e+000
5.052663e+002;4.701095e+000
5.071948e+002;4.729944e+000
5.091233e+002;4.747797e+000
5.110518e+002;4.745983e+000
5.129803e+002;4.750703e+000
5.149088e+002;4.805421e+000
5.168373e+002;4.902709e+000
5.187657e+002;4.989753e+000
5.206943e+002;5.049803e+000
5.226227e+002;5.104032e+000
5.245513e+002;5.153464e+000
5.264797e+002;5.198593e+000
5.284083e+002;5.240937e+000
5.303367e+002;5.286623e+000
5.322653e+002;5.327080e+000
5.341937e+002;5.365927e+000
5.361223e+002;5.404201e+000
5.380507e+002;5.440289e+000
5.399792e+002;5.474860e+000
5.419077e+002;5.506065e+000
5.438362e+002;5.536278e+000
5.457647e+002;5.566941e+000
5.476932e+002;5.592793e+000
5.496217e+002;5.619761e+000
5.515502e+002;5.647859e+000
5.534787e+002;5.676373e+000
5.554072e+002;5.708646e+000
5.573357e+002;5.745994e+000
5.592642e+002;5.779654e+000
5.611927e+002;5.810983e+000
5.631212e+002;5.841686e+000
5.650497e+002;5.876934e+000
5.669782e+002;5.926845e+000
5.689067e+002;6.012001e+000
5.708352e+002;6.121305e+000
5.727637e+002;6.220748e+000
5.746922e+002;6.302364e+000
5.766207e+002;6.369803e+000
5.785492e+002;6.424675e+000
5.804777e+002;6.470678e+000
5.824062e+002;6.509416e+000
5.843347e+002;6.538017e+000
5.862632e+002;6.553727e+000
5.881917e+002;6.555205e+000
5.901202e+002;6.532609e+000
5.920486e+002;6.482872e+000
5.939772e+002;6.402421e+000
5.959056e+002;6.295156e+000
5.978342e+002;6.158990e+000
5.997626e+002;5.963489e+000
6.016912e+002;5.721704e+000
6.036196e+002;5.540575e+000
6.055482e+002;5.413876e+000
6.074766e+002;5.291529e+000
6.094052e+002;5.203723e+000
6.113336e+002;5.246663e+000
6.132621e+002;5.400251e+000
6.151906e+002;5.518150e+000
6.171191e+002;5.584899e+000
6.190476e+002;5.644540e+000
6.209761e+002;5.747070e+000
6.229046e+002;6.030488e+000
6.248331e+002;6.579728e+000
6.267616e+002;7.290966e+000
6.286901e+002;8.021751e+000
6.306186e+002;8.563654e+000
6.325471e+002;8.850027e+000
6.344756e+002;8.989479e+000
6.364041e+002;9.079143e+000
6.383326e+002;9.164940e+000
6.402611e+002;9.251455e+000
6.421896e+002;9.337907e+000
6.441181e+002;9.417936e+000
6.460466e+002;9.484252e+000
6.479751e+002;9.546375e+000
6.499036e+002;9.620835e+000
6.518321e+002;9.689902e+000
6.537606e+002;9.751221e+000
6.556891e+002;9.810982e+000
6.576176e+002;9.870307e+000
6.595461e+002;9.924400e+000
6.614745e+002;9.974599e+000
6.634031e+002;1.002705e+001
6.653315e+002;1.007892e+001
6.672601e+002;1.012319e+001
6.691885e+002;1.017783e+001
6.711171e+002;1.023527e+001
6.730455e+002;1.028537e+001
6.749741e+002;1.033504e+001
6.769025e+002;1.038582e+001
6.788311e+002;1.043707e+001
6.807595e+002;1.048228e+001
6.826880e+002;1.052345e+001
6.846165e+002;1.056194e+001
6.865450e+002;1.059894e+001
6.884735e+002;1.064061e+001
6.904020e+002;1.068958e+001
6.923305e+002;1.074494e+001
6.942590e+002;1.080627e+001
6.961875e+002;1.087381e+001
6.981160e+002;1.093946e+001
7.000445e+002;1.098562e+001
7.019730e+002;1.101295e+001
7.039015e+002;1.102831e+001
7.058300e+002;1.103002e+001
7.077585e+002;1.101550e+001
7.096870e+002;1.097830e+001
7.116155e+002;1.090784e+001
7.135440e+002;1.080006e+001
7.154725e+002;1.068080e+001
7.174010e+002;1.059165e+001
7.193295e+002;1.052951e+001
7.212580e+002;1.047396e+001
7.231865e+002;1.041927e+001
7.251150e+002;1.036480e+001
7.270435e+002;1.031162e+001
7.289720e+002;1.026099e+001
7.309005e+002;1.021731e+001
7.328290e+002;1.017834e+001
7.347574e+002;1.014130e+001
7.366860e+002;1.011211e+001
7.386144e+002;1.010431e+001
7.405430e+002;1.014536e+001
7.424714e+002;1.023734e+001
7.444000e+002;1.033615e+001
7.463284e+002;1.041963e+001
7.482570e+002;1.049184e+001
7.501854e+002;1.055326e+001
7.521140e+002;1.060494e+001
7.540424e+002;1.065425e+001
7.559709e+002;1.070031e+001
7.578994e+002;1.074502e+001
7.598279e+002;1.078767e+001
