991.312	14.0516
989.711	594.85
988.11	597.887
986.508	583.755
984.906	608.641
983.304	638.201
981.701	625.628
980.099	623.977
978.496	597.371
976.893	633.153
975.29	656.449
973.686	657.911
972.082	642.226
970.478	651.482
968.874	649.827
967.269	640.382
965.665	649.633
964.06	615.267
962.454	669.684
960.849	632.21
959.243	650.798
957.637	639.801
956.031	614.8
954.425	650.499
952.818	658.179
951.211	732.753
949.604	667.308
947.996	662.539
946.389	657.77
944.781	702.756
943.172	688.655
941.564	688.546
939.955	655.803
938.346	661.914
936.737	683.559
935.128	643.064
933.518	666.257
931.908	670.809
930.298	659.833
928.687	681.459
927.076	703.077
925.465	645.547
923.854	657.854
922.242	649.99
920.631	676.252
919.018	642.024
917.406	648.12
915.793	661.966
914.181	672.707
912.567	641.6
910.954	667.835
909.34	644.485
907.726	636.633
906.112	634.977
904.498	634.871
902.883	656.439
901.268	645.493
899.652	633.002
898.037	628.253
896.421	621.957
894.805	651.242
893.188	621.745
891.572	632.463
889.955	638.539
888.338	661.617
886.72	642.957
885.102	652.117
883.484	616.469
881.866	628.72
880.247	606.988
878.628	616.148
877.009	599.057
875.389	591.233
873.77	571.065
872.15	617.26
870.529	638.751
868.909	609.329
867.288	609.222
865.666	609.114
864.045	619.799
862.423	601.19
860.801	576.424
859.179	630.255
857.556	588.543
855.933	605.383
854.31	583.712
852.686	600.546
851.063	572.725
849.439	561.847
847.814	595.604
846.189	587.803
844.564	569.234
842.939	601.433
841.314	561.338
839.688	575.075
838.062	578.044
836.435	582.55
834.808	579.37
833.181	573.118
831.554	597.592
829.926	551.404
828.298	606.586
826.67	578.837
825.041	557.239
823.413	574.019
821.783	547.826
820.154	538.519
818.524	592.107
816.894	598.132
815.264	555.085
813.633	574.912
812.002	557.944
810.371	568.567
808.739	528.622
807.107	574.482
805.475	549.867
803.842	560.483
802.21	525.163
800.576	534.248
798.943	531.086
797.309	566.181
795.675	569.134
794.041	546.081
792.406	553.624
790.771	571.868
789.136	562.586
787.5	554.837
