991.312	-1.56129
989.711	135.832
988.11	129.568
986.508	134.232
984.906	123.289
983.304	118.59
981.701	127.934
980.099	127.915
978.496	143.494
976.893	149.711
975.29	134.096
973.686	138.754
972.082	130.939
970.478	144.947
968.874	115.317
967.269	138.671
965.665	119.956
964.06	146.418
962.454	130.822
960.849	137.031
959.243	144.795
957.637	130.762
956.031	150.976
954.425	129.166
952.818	143.15
951.211	149.351
949.604	132.217
947.996	144.639
946.389	144.616
944.781	136.82
943.172	149.234
941.564	146.102
939.955	136.755
938.346	122.749
936.737	128.944
935.128	147.563
933.518	142.88
931.908	141.305
930.298	152.15
928.687	141.259
927.076	147.444
925.465	127.247
923.854	131.881
922.242	138.065
920.631	156.655
919.018	142.672
917.406	147.3
915.793	142.625
914.181	125.551
912.567	141.028
910.954	150.302
909.34	134.784
907.726	128.566
906.112	130.093
904.498	136.265
902.883	119.212
901.268	147.055
899.652	150.125
898.037	160.932
896.421	136.15
894.805	139.22
893.188	151.57
891.572	126.802
889.955	128.326
888.338	148.4
886.72	139.101
885.102	146.804
883.484	139.053
881.866	142.119
880.247	137.46
878.628	162.144
877.009	145.132
875.389	129.67
873.77	132.734
872.15	145.056
870.529	137.316
868.909	132.664
867.288	120.302
865.666	131.075
864.045	121.801
862.423	115.614
860.801	144.876
859.179	129.441
857.556	129.418
855.933	127.854
854.31	120.131
852.686	120.109
851.063	126.246
849.439	127.762
847.814	124.661
846.189	133.871
844.564	130.77
842.939	141.514
841.314	127.647
839.688	124.548
838.062	122.988
836.435	133.725
834.808	121.406
833.181	125.994
831.554	139.797
829.926	101.372
828.298	124.389
826.67	128.972
825.041	133.553
823.413	133.528
821.783	144.245
820.154	128.876
818.524	122.716
816.894	134.963
815.264	108.87
813.633	136.446
812.002	125.691
810.371	122.602
808.739	137.901
807.107	137.876
805.475	128.66
803.842	108.728
802.21	127.08
800.576	117.871
798.943	111.727
797.309	113.236
795.675	128.514
794.041	123.901
792.406	126.936
790.771	131.499
789.136	108.542
787.5	120.75
785.864	125.311
784.228	119.176
782.592	125.263
780.955	108.439
779.317	140.485
777.68	109.924
776.042	138.905
774.404	112.934
772.766	134.274
771.127	128.146
769.488	115.919
767.848	117.422
766.209	129.597
764.569	120.425
762.928	108.209
761.288	129.521
759.647	112.738
758.005	137.087
