Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
6169.4949,887.20695,5.18,3000,6169.4949,6169.4949,1586.4435,541.29182,80,-2000,0,-2
6157.6076,478.01535,5.19,10000,6157.6076,6157.6076,1710.6011,590.95486,80,-1000,0,-1
6145.766,271.22686,5.2,30000,6145.766,6145.766,1771.522,615.32323,80,0,0,0
6133.9699,270.68803,5.21,30000,6133.9699,6133.9699,1768.0041,613.91607,80,1000,0,1
6122.219,270.15128,5.22,30000,6122.219,6122.219,1764.4997,612.5143,80,2000,0,2
