Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
6169.4949,208.85431,5.18,50000,6169.4949,6169.4949,1798.4287,626.0859,80,-2000,0,-2
6157.6076,208.43601,5.19,50000,6157.6076,6157.6076,1794.8446,624.65228,80,-1000,0,-1
6145.766,144.9353,5.2,100000,6145.766,6145.766,1810.9881,631.10968,80,0,0,0
6133.9699,144.64313,5.21,100000,6133.9699,6133.9699,1807.3931,629.67168,80,1000,0,1
6122.219,116.25333,5.22,150000,6122.219,6122.219,1812.5928,631.75155,80,2000,0,2
