Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
6169.4949,243.60018,5.18,10000,6169.4949,6169.4949,1789.2169,624.76661,80,-2000,0,-2
6157.6076,243.07326,5.19,10000,6157.6076,6157.6076,1785.6668,623.34657,80,-1000,0,-1
6145.766,242.5484,5.2,10000,6145.766,6145.766,1782.1303,621.93198,80,0,0,0
6133.9699,242.02558,5.21,10000,6133.9699,6133.9699,1778.6074,620.52282,80,1000,0,1
6122.219,241.5048,5.22,10000,6122.219,6122.219,1775.098,619.11906,80,2000,0,2
