991.312	3.12257
989.711	587.043
988.11	641.597
986.508	599.363
984.906	622.687
983.304	653.805
981.701	622.507
980.099	634.897
978.496	662.88
976.893	654.985
975.29	651.771
973.686	665.706
972.082	674.961
970.478	606.284
968.874	710.602
967.269	669.986
965.665	665.212
964.06	688.476
962.454	689.93
960.849	677.368
959.243	685.05
957.637	697.399
956.031	689.51
954.425	711.192
952.818	683.074
951.211	729.641
949.604	696.863
947.996	701.42
946.389	656.215
944.781	680.989
943.172	670
941.564	744.5
939.955	694.654
938.346	714.743
936.737	675.791
935.128	683.45
933.518	708.189
931.908	725.156
930.298	714.172
928.687	678.354
927.076	692.213
925.465	758.828
923.854	651.648
922.242	715.145
920.631	702.619
919.018	685.446
917.406	733.399
915.793	708.474
914.181	700.607
912.567	678.794
910.954	694.177
909.34	706.455
907.726	680.004
906.112	669.049
904.498	681.325
902.883	705.981
901.268	654.78
899.652	662.408
898.037	665.391
896.421	655.995
894.805	699.196
893.188	677.424
891.572	664.937
889.955	664.823
888.338	655.434
886.72	673.868
885.102	659.844
883.484	656.64
881.866	648.802
880.247	674.946
878.628	625.413
877.009	653.095
875.389	623.651
873.77	640.519
872.15	609.544
870.529	661.895
868.909	615.5
867.288	618.476
865.666	650.75
864.045	652.176
862.423	648.977
860.801	616.496
859.179	619.468
857.556	616.276
855.933	600.761
854.31	608.354
852.686	640.582
851.063	652.784
849.439	578.779
847.814	581.753
846.189	590.88
844.564	635.389
842.939	627.582
841.314	593.634
839.688	591.989
838.062	568.82
836.435	608.68
834.808	602.422
833.181	576.191
831.554	582.23
829.926	611.306
828.298	569.73
826.67	631.04
825.041	592.546
823.413	620.063
821.783	560.102
820.154	575.34
818.524	567.564
816.894	608.867
815.264	598.02
813.633	623.971
812.002	617.723
810.371	577.762
808.739	556.202
807.107	615.844
805.475	574.374
803.842	575.797
802.21	569.564
800.576	558.741
798.943	572.41
797.309	587.604
795.675	613.502
794.041	567.496
792.406	582.682
790.771	591.746
789.136	594.691
787.5	585.406
785.864	577.654
784.228	580.599
782.592	566.74
780.955	581.905
779.317	583.32
777.68	561.834
776.042	560.2
774.404	555.514
772.766	582.872
771.127	556.825
769.488	541.465
767.848	571.86
766.209	561.077
764.569	577.737
762.928	597.438
761.288	562.275
759.647	546.931
758.005	551.394
756.364	545.196
754.722	563.361
753.08	558.684
751.437	552.487
749.794	540.206
748.151	499.022
746.507	550.643
744.864	577.91
743.219	539.784
741.575	576.163
739.93	527.413
738.285	577.457
736.639	562.15
734.994	527.102
733.348	539.148
731.701	534.487
730.054	549.563
728.407	537.312
726.76	558.451
725.112	515.858
723.464	544.578
721.816	542.954
720.167	541.33
718.518	562.447
716.869	541.116
715.219	556.163
713.569	546.961
711.918	586.238
710.268	580.064
708.617	513.323
706.965	558.638
705.314	552.472
703.662	550.849
702.009	555.278
700.357	564.244
698.704	597.404
697.05	585.188
695.397	557.859
693.743	569.839
692.089	604.483
690.434	556.013
688.779	611.794
687.124	620.733
685.468	629.669
683.812	655.207
682.156	633.945
680.499	644.381
678.842	615.585
677.185	610.935
675.527	640.976
673.869	678.544
672.211	649.764
670.552	642.097
668.893	679.641
667.234	644.851
665.574	717.026
663.915	709.352
662.254	685.117
660.594	680.462
658.933	733.005
657.271	741.886
655.61	756.781
653.948	691.946
652.285	780.538
650.623	753.315
648.96	751.659
647.296	792.088
645.633	769.387
643.969	776.743
642.304	748.046
640.64	774.927
638.975	804.799
637.309	815.145
