671.12,90.763,1.1499
673.05,91.054,1.1502
674.97,91.38,1.1505
676.9,91.694,1.1508
678.83,91.951,1.151
680.76,92.216,1.1513
682.69,92.496,1.1516
684.62,92.798,1.1519
686.54,93.119,1.1522
688.47,93.445,1.1524
690.4,93.737,1.1527
692.33,94.001,1.153
694.26,94.22,1.1533
696.19,94.446,1.1536
698.12,94.705,1.1538
700.04,94.981,1.1541
701.97,95.279,1.1544
703.9,95.533,1.1547
705.83,95.728,1.155
707.76,95.895,1.1553
709.69,96.06,1.1556
711.62,96.27,1.1559
713.54,96.539,1.1561
715.47,96.79,1.1564
717.4,96.945,1.1567
719.33,97.051,1.157
721.26,97.145,1.1573
723.19,97.278,1.1576
725.12,97.454,1.1579
727.04,97.64,1.1582
728.97,97.801,1.1585
730.9,97.906,1.1588
732.83,97.967,1.1591
734.76,98.027,1.1594
736.69,98.104,1.1597
738.61,98.218,1.16
740.54,98.329,1.1603
742.47,98.403,1.1606
744.4,98.487,1.1609
746.33,98.517,1.1612
748.26,98.522,1.1615
750.19,98.564,1.1618
752.11,98.651,1.1621
754.04,98.728,1.1624
755.97,98.803,1.1627
757.9,98.825,1.163
759.83,98.804,1.1633
761.76,98.785,1.1636
763.68,98.788,1.1639
765.61,98.839,1.1642
767.54,98.919,1.1645
769.47,98.962,1.1648
771.4,98.965,1.1651
773.33,98.929,1.1654
775.26,98.923,1.1657
777.18,98.951,1.166
779.11,99.038,1.1664
781.04,99.139,1.1667
782.97,99.22,1.167
784.9,99.26,1.1673
786.83,99.269,1.1676
788.76,99.286,1.1679
790.68,99.352,1.1682
792.61,99.465,1.1685
794.54,99.575,1.1689
796.47,99.64,1.1692
798.4,99.691,1.1695
800.33,99.693,1.1698
802.25,99.705,1.1701
804.18,99.778,1.1704
806.11,99.872,1.1708
808.04,99.942,1.1711
809.97,99.97,1.1714
811.9,99.972,1.1717
813.83,99.97,1.172
815.75,99.973,1.1724
817.68,100.02,1.1727
819.61,100.09,1.173
821.54,100.14,1.1733
823.47,100.14,1.1737
825.4,100.09,1.174
827.33,100.01,1.1743
829.25,99.97,1.1746
831.18,99.963,1.175
833.11,99.949,1.1753
835.04,99.912,1.1756
836.97,99.85,1.1759
838.9,99.786,1.1763
840.82,99.747,1.1766
842.75,99.765,1.1769
844.68,99.828,1.1773
846.61,99.886,1.1776
848.54,99.941,1.1779
850.47,99.971,1.1783
852.4,99.961,1.1786
854.32,99.94,1.1789
856.25,99.953,1.1793
858.18,99.995,1.1796
860.11,100.02,1.1799
862.04,99.995,1.1803
863.97,99.912,1.1806
865.9,99.802,1.1809
867.82,99.718,1.1813
869.75,99.646,1.1816
871.68,99.595,1.182
873.61,99.525,1.1823
875.54,99.396,1.1826
877.47,99.277,1.183
879.39,99.174,1.1833
881.32,99.092,1.1837
883.25,99.079,1.184
885.18,99.12,1.1843
887.11,99.14,1.1847
889.04,99.16,1.185
890.97,99.182,1.1854
892.89,99.229,1.1857
894.82,99.334,1.1861
896.75,99.461,1.1864
898.68,99.585,1.1868
900.61,99.699,1.1871
902.54,99.769,1.1875
904.47,99.824,1.1878
906.39,99.874,1.1882
908.32,99.927,1.1885
910.25,100.02,1.1889
912.18,100.1,1.1892
914.11,100.12,1.1896
916.04,100.13,1.1899
917.96,100.13,1.1903
919.89,100.13,1.1906
921.82,100.17,1.191
923.75,100.23,1.1913
925.68,100.26,1.1917
927.61,100.26,1.192
929.54,100.22,1.1924
931.46,100.2,1.1928
933.39,100.22,1.1931
935.32,100.24,1.1935
937.25,100.28,1.1938
939.18,100.3,1.1942
941.11,100.27,1.1945
943.04,100.23,1.1949
944.96,100.21,1.1953
946.89,100.21,1.1956
948.82,100.24,1.196
950.75,100.29,1.1964
952.68,100.27,1.1967
954.61,100.22,1.1971
956.53,100.17,1.1974
958.46,100.14,1.1978
960.39,100.14,1.1982
962.32,100.17,1.1985
964.25,100.18,1.1989
966.18,100.15,1.1993
968.11,100.08,1.1996
970.03,100.04,1.2
971.96,100.02,1.2004
973.89,100.02,1.2007
975.82,100.03,1.2011
977.75,100.02,1.2015
979.68,99.966,1.2019
981.61,99.893,1.2022
983.53,99.833,1.2026
985.46,99.801,1.203
987.39,99.805,1.2033
989.32,99.811,1.2037
991.25,99.77,1.2041
993.18,99.706,1.2045
995.1,99.64,1.2048
997.03,99.588,1.2052
998.96,99.582,1.2056
1000.9,99.6,1.206
1002.8,99.597,1.2063
1004.7,99.573,1.2067
1006.7,99.546,1.2071
1008.6,99.529,1.2075
1010.5,99.57,1.2079
1012.5,99.643,1.2082
1014.4,99.727,1.2086
1016.3,99.818,1.209
1018.2,99.901,1.2094
1020.2,99.997,1.2098
