190426_coupler_1pH_NbTiN De-Embedded Nominal: tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
Frequency GHz, DB[S13]
2,-33.5713
3,-29.9638
4,-27.361
5,-25.3185
6,-23.6555
7,-22.2949
8,-21.2084

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2200.0
Frequency GHz, DB[S13]
2,-33.1625
3,-29.5487
4,-26.9406
5,-24.8974
6,-23.2441
7,-21.9095
8,-20.8709

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2300.0
Frequency GHz, DB[S13]
2,-32.7713
3,-29.1513
4,-26.5382
5,-24.4961
6,-22.8557
7,-21.553
8,-20.5704

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2400.0
Frequency GHz, DB[S13]
2,-32.3962
3,-28.7699
4,-26.1526
5,-24.1132
6,-22.4897
7,-21.2251
8,-20.3067

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2500.0
Frequency GHz, DB[S13]
2,-32.036
3,-28.4035
4,-25.7825
5,-23.748
6,-22.1455
7,-20.9256
8,-20.0792

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2600.0
Frequency GHz, DB[S13]
2,-31.6893
3,-28.0507
4,-25.4269
5,-23.3996
6,-21.8226
7,-20.6544
8,-19.8876

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2700.0
Frequency GHz, DB[S13]
2,-31.3553
3,-27.7107
4,-25.085
5,-23.0674
6,-21.5208
7,-20.4111
8,-19.7312

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2800.0
Frequency GHz, DB[S13]
2,-31.033
3,-27.3825
4,-24.756
5,-22.7508
6,-21.2399
7,-20.1957
8,-19.609

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2900.0
Frequency GHz, DB[S13]
2,-30.7215
3,-27.0655
4,-24.4392
5,-22.4495
6,-20.9797
7,-20.0079
8,-19.5199

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3000.0
Frequency GHz, DB[S13]
2,-30.4202
