190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=200.0
Frequency GHz, DB[S13]
2,-53.7358
3,-50.2151
4,-47.7178
5,-45.7814
6,-44.1999
7,-42.8635
8,-41.7064

