190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2300.0
Frequency GHz, DB[S13]
2,-32.9363
3,-29.5121
4,-27.1521
5,-25.3956
6,-24.0393
7,-22.9759
8,-22.1433

