190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=600.0
Frequency GHz, DB[S13]
2,-44.4445
3,-40.9296
4,-38.4405
5,-36.5147
6,-34.9461
7,-33.625
8,-32.4856

