190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2000.0
Frequency GHz, DB[S13]
2,-34.1266
3,-30.6785
4,-28.284
5,-26.4818
6,-25.0674
7,-23.9324
8,-23.0133

