190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1300.0
Frequency GHz, DB[S13]
2,-37.8146
3,-34.324
4,-31.869
5,-29.9875
6,-28.4736
7,-27.2178
8,-26.1547

