190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1700.0
Frequency GHz, DB[S13]
2,-35.5155
3,-32.0468
4,-29.6231
5,-27.7823
6,-26.3194
7,-25.1251
8,-24.1351

