190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=900.0
Frequency GHz, DB[S13]
2,-40.9704
3,-37.4637
4,-34.9861
5,-33.0752
6,-31.5249
7,-30.2255
8,-29.1114

