190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2900.0
Frequency GHz, DB[S13]
2,-30.9753
3,-27.6098
4,-25.335
5,-23.6933
6,-22.4846
7,-21.6058
8,-20.9994

