190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2100.0
Frequency GHz, DB[S13]
2,-33.7106
3,-30.27
4,-27.8864
5,-26.0987
6,-24.7025
7,-23.59
8,-22.6979

