190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1500.0
Frequency GHz, DB[S13]
2,-36.5874
3,-33.1071
4,-30.6666
5,-28.804
6,-27.3137
7,-26.0864
8,-25.0569

