190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1600.0
Frequency GHz, DB[S13]
2,-36.0345
3,-32.5598
4,-30.1274
5,-28.2753
6,-26.7982
7,-25.5867
8,-24.5762

