190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3000.0
Frequency GHz, DB[S13]
2,-30.6903
3,-27.3361
4,-25.0778
5,-23.4584
6,-22.2787
7,-21.4366
8,-20.8757

