190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2700.0
Frequency GHz, DB[S13]
2,-31.5776
3,-28.191
4,-25.8852
5,-24.2017
6,-22.9388
7,-21.992
8,-21.3016

