190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2200.0
Frequency GHz, DB[S13]
2,-33.3144
3,-29.8818
4,-27.5097
5,-25.7372
6,-24.3604
7,-23.2717
8,-22.4084

