190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1000.0
Frequency GHz, DB[S13]
2,-40.0663
3,-36.563
4,-34.0903
5,-32.1857
6,-30.6432
7,-29.3531
8,-28.2499

