190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1100.0
Frequency GHz, DB[S13]
2,-39.2483
3,-35.7488
4,-33.2815
5,-31.3839
6,-29.8501
7,-28.5703
8,-27.4791

