190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1400.0
Frequency GHz, DB[S13]
2,-37.1789
3,-33.6932
4,-31.2453
5,-29.3729
6,-27.8703
7,-26.6281
8,-25.5812

