190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=700.0
Frequency GHz, DB[S13]
2,-43.1251
3,-39.6126
4,-37.1268
5,-35.2053
6,-33.642
7,-32.3271
8,-31.195

