190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1900.0
Frequency GHz, DB[S13]
2,-34.5645
3,-31.1091
4,-28.7043
5,-26.8885
6,-25.4569
7,-24.3009
8,-23.3565

