Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
6666.2038,658.57975,5.3,3000,6666.2038,6666.2038,1701.0709,478.89668,80,-3000,0,-2
6542.7556,345.32379,5.4,10000,6542.7556,6542.7556,1760.3858,502.62264,80,-1500,0,-1
6423.7964,188.7069,5.5,30000,6423.7964,6423.7964,1772.1539,507.32986,80,0,0,0
6309.0857,185.08046,5.6,30000,6309.0857,6309.0857,1737.44,493.44433,80,1500,0,1
6198.4,181.58385,5.7,30000,6198.4,6198.4,1703.9434,480.04569,80,3000,0,2
