Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
7517.2085,169.37654,4.7,300000,7517.2085,7517.2085,2046.9352,512.42408,80,-4200,0,-2
7517.2085,169.37654,4.7,300000,7517.2085,7517.2085,2046.9352,512.42408,80,-2100,0,-1
7517.2085,169.37654,4.7,300000,7517.2085,7517.2085,2046.9352,512.42408,80,0,0,0
7517.2085,169.37654,4.7,300000,7517.2085,7517.2085,2046.9352,512.42408,80,2100,0,1
7517.2085,169.37654,4.7,300000,7517.2085,7517.2085,2046.9352,512.42408,80,4200,0,2
