Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
5608.0762,890.78835,6.3,3000,5608.0762,5608.0762,1348.8755,411.34697,80,-2600,0,-2
5520.45,471.13204,6.4,10000,5520.45,5520.45,1452.6349,452.85073,80,-1300,0,-1
5435.52,262.98371,6.5,30000,5435.52,5435.52,1491.1406,468.25302,80,0,0,0
5353.1636,137.91168,6.6,100000,5353.1636,5353.1636,1504.4892,473.59248,80,1300,0,1
5273.2657,135.73108,6.7,100000,5273.2657,5273.2657,1480.2026,463.87781,80,2600,0,2
