Lres,Lcoupler,F0[GHz],Q,KIDlengthwritten,KIDlengthcalculated,Hyblengthwrite,Larm,CouplerD,Xpos,Ypos,indices
5273.2657,147.53302,6.7,200000,5273.2657,5273.2657,1426.8174,371.11721,80,-3000,0,-2
5273.2657,147.53302,6.7,200000,5273.2657,5273.2657,1426.8174,371.11721,80,-1500,0,-1
5273.2657,147.53302,6.7,200000,5273.2657,5273.2657,1426.8174,371.11721,80,0,0,0
5273.2657,147.53302,6.7,200000,5273.2657,5273.2657,1426.8174,371.11721,80,1500,0,1
5273.2657,147.53302,6.7,200000,5273.2657,5273.2657,1426.8174,371.11721,80,3000,0,2
