190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3100.0
Frequency GHz, DB[S13]
2,-30.4153
3,-27.0727
4,-24.8315
5,-23.2354
6,-22.0861
7,-21.2826
8,-20.7695

