190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=500.0
Frequency GHz, DB[S13]
2,-46.0019
3,-42.485
4,-39.9931
5,-38.0636
6,-36.4906
7,-35.1642
8,-34.0188

