190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=800.0
Frequency GHz, DB[S13]
2,-41.9807
3,-38.4709
4,-35.9889
5,-34.0724
6,-32.5152
7,-31.2075
8,-30.0838

