190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2500.0
Frequency GHz, DB[S13]
2,-32.2287
3,-28.8225
4,-26.4883
5,-24.7666
6,-23.4546
7,-22.4463
8,-21.6807

