190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2800.0
Frequency GHz, DB[S13]
2,-31.2708
3,-27.8945
4,-25.6039
5,-23.9408
6,-22.7044
7,-21.7907
8,-21.1412

