190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2600.0
Frequency GHz, DB[S13]
2,-31.8966
3,-28.5
4,-26.1797
5,-24.4766
6,-23.1886
7,-22.2102
8,-21.4812

