190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3300.0
Frequency GHz, DB[S13]
2,-29.8935
3,-26.5754
4,-24.3703
5,-22.8237
6,-21.7392
7,-21.0183
8,-20.6086

