190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=400.0
Frequency GHz, DB[S13]
2,-47.9019
3,-44.3834
4,-41.8891
5,-39.9567
6,-38.3801
7,-37.0494
8,-35.899

