190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1200.0
Frequency GHz, DB[S13]
2,-38.5015
3,-35.0062
4,-32.5448
5,-30.6549
6,-29.1306
7,-27.8622
8,-26.7845

