190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=300.0
Frequency GHz, DB[S13]
2,-50.3382
3,-46.8184
4,-44.3223
5,-42.3876
6,-40.8082
7,-39.4741
8,-38.3198

