190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
2,-29.6508
3,-26.3451
4,-24.1584
5,-22.637
6,-21.5859
7,-20.9078
8,-20.5521

