190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=2400.0
Frequency GHz, DB[S13]
2,-32.5749
3,-29.1595
4,-26.8121
5,-25.0725
6,-23.7378
7,-22.7012
8,-21.9011

