190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3200.0
Frequency GHz, DB[S13]
2,-30.1498
3,-26.8192
4,-24.5957
5,-23.0239
6,-21.9063
7,-21.1432
8,-20.6806

