190426_coupler_test De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1800.0
Frequency GHz, DB[S13]
2,-35.0266
3,-31.5643
4,-29.1498
5,-27.3211
6,-25.8732
7,-24.6974
8,-23.7294

