R 50.00000
gap = 8.0
Line = 20.0
td = 2.0
Wcoup = 400.0
4.50000000,-40.2022,72.725,-1.68e-3,-18.12,-35.3699,68.345,-1.68e-3,-18.12,-40.2012,72.739,-35.3702,68.130,-35.3699,68.345,-35.3702,68.130,-2.54e-3,-25.96
5.00000000,-39.3026,70.802,-2.06e-3,-20.14,-34.4806,65.961,-2.06e-3,-20.14,-39.3014,70.817,-34.4810,65.722,-34.4806,65.961,-34.4810,65.722,-3.11e-3,-28.80
5.50000000,-38.4919,68.878,-2.48e-3,-22.15,-33.6811,63.584,-2.48e-3,-22.15,-38.4904,68.895,-33.6816,63.322,-33.6811,63.584,-33.6816,63.322,-3.74e-3,-31.63
6.00000000,-37.7550,66.952,-2.93e-3,-24.16,-32.9561,61.215,-2.93e-3,-24.16,-37.7532,66.971,-32.9567,60.929,-32.9561,61.215,-32.9567,60.929,-4.42e-3,-34.44
6.50000000,-37.0802,65.026,-3.42e-3,-26.17,-32.2941,58.854,-3.42e-3,-26.17,-37.0782,65.046,-32.2947,58.543,-32.2941,58.854,-32.2947,58.543,-5.14e-3,-37.23
7.00000000,-36.4588,63.098,-3.94e-3,-28.19,-31.6858,56.501,-3.94e-3,-28.19,-36.4564,63.120,-31.6866,56.166,-31.6858,56.501,-31.6866,56.166,-5.92e-3,-40.01
7.50000000,-35.8835,61.169,-4.48e-3,-30.20,-31.1243,54.157,-4.48e-3,-30.20,-35.8808,61.193,-31.1252,53.799,-31.1243,54.157,-31.1252,53.799,-6.73e-3,-42.77
8.00000000,-35.3486,59.238,-5.06e-3,-32.21,-30.6035,51.822,-5.06e-3,-32.21,-35.3455,59.264,-30.6046,51.440,-30.6035,51.822,-30.6046,51.440,-7.59e-3,-45.51
R 50.00000
gap = 8.0
Line = 20.0
td = 6.0
Wcoup = 400.0
3.00000000,-45.2624,78.507,-5.87e-4,-12.04,-39.7997,75.507,-5.87e-4,-12.04,-45.2620,78.516,-39.7998,75.371,-39.7997,75.507,-39.7998,75.371,-9.19e-4,-17.39
3.50000000,-43.9360,76.589,-7.96e-4,-14.05,-38.4788,73.102,-7.96e-4,-14.05,-43.9354,76.600,-38.4790,72.944,-38.4788,73.102,-38.4790,72.944,-1.24e-3,-20.27
4.00000000,-42.7907,74.671,-1.03e-3,-16.06,-37.3397,70.703,-1.03e-3,-16.06,-42.7900,74.683,-37.3399,70.522,-37.3397,70.703,-37.3399,70.522,-1.62e-3,-23.13
4.50000000,-41.7842,72.752,-1.30e-3,-18.06,-36.3399,68.309,-1.30e-3,-18.06,-41.7833,72.765,-36.3402,68.106,-36.3399,68.309,-36.3402,68.106,-2.03e-3,-25.99
5.00000000,-40.8875,70.831,-1.60e-3,-20.07,-35.4506,65.922,-1.60e-3,-20.07,-40.8864,70.847,-35.4509,65.696,-35.4506,65.922,-35.4509,65.696,-2.49e-3,-28.83
5.50000000,-40.0801,68.910,-1.92e-3,-22.08,-34.6511,63.541,-1.92e-3,-22.08,-40.0788,68.928,-34.6515,63.293,-34.6511,63.541,-34.6515,63.293,-2.99e-3,-31.66
6.00000000,-39.3469,66.988,-2.27e-3,-24.08,-33.9262,61.168,-2.27e-3,-24.08,-39.3453,67.008,-33.9266,60.897,-33.9262,61.168,-33.9266,60.897,-3.54e-3,-34.47
6.50000000,-38.6761,65.065,-2.65e-3,-26.09,-33.2641,58.803,-2.65e-3,-26.09,-38.6743,65.086,-33.2646,58.509,-33.2641,58.803,-33.2646,58.509,-4.12e-3,-37.27
7.00000000,-38.0590,63.141,-3.04e-3,-28.09,-32.6559,56.446,-3.04e-3,-28.09,-38.0568,63.164,-32.6565,56.129,-32.6559,56.446,-32.6565,56.129,-4.74e-3,-40.05
7.50000000,-37.4883,61.216,-3.47e-3,-30.10,-32.0943,54.098,-3.47e-3,-30.10,-37.4858,61.241,-32.0950,53.759,-32.0943,54.098,-32.0950,53.759,-5.39e-3,-42.81
8.00000000,-36.9583,59.289,-3.91e-3,-32.11,-31.5736,51.760,-3.91e-3,-32.11,-36.9555,59.317,-31.5744,51.398,-31.5736,51.760,-31.5744,51.398,-6.07e-3,-45.55
R 50.00000
gap = 8.0
Line = 20.0
td = 8.0
Wcoup = 400.0
3.00000000,-46.5028,78.505,-4.74e-4,-12.02,-40.6572,75.491,-4.74e-4,-12.02,-46.5024,78.513,-40.6573,75.361,-40.6572,75.491,-40.6573,75.361,-7.56e-4,-17.40
3.50000000,-45.1779,76.587,-6.42e-4,-14.02,-39.3364,73.084,-6.42e-4,-14.02,-45.1774,76.597,-39.3365,72.932,-39.3364,73.084,-39.3365,72.932,-1.02e-3,-20.28
4.00000000,-44.0343,74.668,-8.34e-4,-16.02,-38.1973,70.682,-8.34e-4,-16.02,-44.0336,74.680,-38.1975,70.508,-38.1973,70.682,-38.1975,70.508,-1.33e-3,-23.15
4.50000000,-43.0296,72.749,-1.05e-3,-18.02,-37.1976,68.286,-1.05e-3,-18.02,-43.0288,72.762,-37.1978,68.090,-37.1976,68.286,-37.1978,68.090,-1.67e-3,-26.00
5.00000000,-42.1351,70.828,-1.29e-3,-20.03,-36.3084,65.896,-1.29e-3,-20.03,-42.1341,70.844,-36.3086,65.678,-36.3084,65.896,-36.3086,65.678,-2.05e-3,-28.85
5.50000000,-41.3302,68.907,-1.55e-3,-22.03,-35.5089,63.513,-1.55e-3,-22.03,-41.3289,68.924,-35.5093,63.273,-35.5089,63.513,-35.5093,63.273,-2.46e-3,-31.68
6.00000000,-40.5995,66.985,-1.83e-3,-24.03,-34.7840,61.137,-1.83e-3,-24.03,-40.5980,67.004,-34.7844,60.876,-34.7840,61.137,-34.7844,60.876,-2.91e-3,-34.49
6.50000000,-39.9316,65.062,-2.13e-3,-26.03,-34.1220,58.770,-2.13e-3,-26.03,-39.9299,65.084,-34.1225,58.486,-34.1220,58.770,-34.1225,58.486,-3.38e-3,-37.29
7.00000000,-39.3175,63.138,-2.45e-3,-28.03,-33.5139,56.410,-2.45e-3,-28.03,-39.3155,63.162,-33.5144,56.105,-33.5139,56.410,-33.5144,56.105,-3.89e-3,-40.07
7.50000000,-38.7501,61.213,-2.79e-3,-30.04,-32.9524,54.060,-2.79e-3,-30.04,-38.7478,61.239,-32.9530,53.733,-32.9524,54.060,-32.9530,53.733,-4.43e-3,-42.83
8.00000000,-38.2237,59.287,-3.14e-3,-32.04,-32.4318,51.719,-3.14e-3,-32.04,-38.2211,59.316,-32.4324,51.371,-32.4318,51.719,-32.4324,51.371,-4.99e-3,-45.58
R 50.00000
gap = 8.0
Line = 20.0
td = 10.0
Wcoup = 400.0
3.00000000,-47.3124,78.478,-3.96e-4,-12.00,-41.4388,75.482,-3.96e-4,-12.00,-47.3121,78.487,-41.4389,75.355,-41.4388,75.482,-41.4389,75.355,-6.33e-4,-17.41
3.50000000,-45.9891,76.556,-5.36e-4,-14.00,-40.1179,73.074,-5.36e-4,-14.00,-45.9886,76.566,-40.1180,72.925,-40.1179,73.074,-40.1180,72.925,-8.57e-4,-20.29
4.00000000,-44.8473,74.633,-6.96e-4,-16.00,-38.9788,70.670,-6.96e-4,-16.00,-44.8467,74.644,-38.9790,70.501,-38.9788,70.670,-38.9790,70.501,-1.11e-3,-23.16
4.50000000,-43.8447,72.710,-8.76e-4,-18.00,-37.9792,68.272,-8.76e-4,-18.00,-43.8440,72.723,-37.9794,68.082,-37.9792,68.272,-37.9794,68.082,-1.40e-3,-26.01
5.00000000,-42.9525,70.785,-1.07e-3,-20.00,-37.0900,65.881,-1.07e-3,-20.00,-42.9516,70.800,-37.0902,65.669,-37.0900,65.881,-37.0902,65.669,-1.71e-3,-28.86
5.50000000,-42.1501,68.860,-1.29e-3,-22.00,-36.2905,63.496,-1.29e-3,-22.00,-42.1490,68.877,-36.2908,63.263,-36.2905,63.496,-36.2908,63.263,-2.06e-3,-31.69
6.00000000,-41.4222,66.935,-1.53e-3,-24.00,-35.5657,61.119,-1.53e-3,-24.00,-41.4209,66.953,-35.5660,60.865,-35.5657,61.119,-35.5660,60.865,-2.43e-3,-34.50
6.50000000,-40.7573,65.008,-1.78e-3,-26.00,-34.9037,58.750,-1.78e-3,-26.00,-40.7558,65.029,-34.9041,58.474,-34.9037,58.750,-34.9041,58.474,-2.83e-3,-37.30
7.00000000,-40.1465,63.081,-2.04e-3,-28.00,-34.2956,56.389,-2.04e-3,-28.00,-40.1447,63.104,-34.2960,56.092,-34.2956,56.389,-34.2960,56.092,-3.25e-3,-40.09
7.50000000,-39.5826,61.152,-2.33e-3,-30.00,-33.7341,54.037,-2.33e-3,-30.00,-39.5806,61.178,-33.7347,53.719,-33.7341,54.037,-33.7347,53.719,-3.70e-3,-42.85
8.00000000,-39.0600,59.223,-2.62e-3,-31.99,-33.2135,51.695,-2.62e-3,-31.99,-39.0577,59.252,-33.2141,51.356,-33.2135,51.695,-33.2141,51.356,-4.17e-3,-45.59
R 50.00000
gap = 8.0
Line = 20.0
td = 12.0
Wcoup = 400.0
3.00000000,-47.9294,78.447,-3.37e-4,-11.99,-42.1583,75.476,-3.37e-4,-11.99,-47.9291,78.455,-42.1584,75.351,-42.1583,75.476,-42.1584,75.351,-5.38e-4,-17.41
