TERM 50.97000 0.000000 50.97000 0.000000 63.84000 0.000000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
tandelta = 0.0
t_aSi = 0.25
W = 10.0
Lcoupler = 100.0
2.000000000000000,-55.10556980571,-106.7499334243,-1.851049074e-5,-21.62911289167,-59.29646346141,66.833621782102,-1.851049523e-5,-21.62911289168,-55.10303570225,-116.5427677212,-59.30312191329,87.804479238293,-59.29646346150,66.833621781983,-59.30312191337,87.804479238405,-1.020553265e-5,-3.642200817283
3.000000000000000,-51.69931545877,-115.2142978827,-4.085571359e-5,-32.44360965579,-55.77502797656,55.250487632948,-4.085571042e-5,-32.44360965579,-51.69379790445,-129.7183059692,-55.78916312282,86.726329688886,-55.77502797652,55.250487633000,-55.78916312278,86.726329688829,-2.294068988e-5,-5.463304758771
4.000000000000000,-49.36567362887,-123.7858628767,-7.068223632e-5,-43.25798868711,-53.27679706681,43.667450585824,-7.068222824e-5,-43.25798868711,-49.35630743614,-142.7792627223,-53.29993369962,85.668740586403,-53.27679706678,43.667450585861,-53.29993369960,85.668740586369,-4.073627805e-5,-7.284413040687
5.000000000000000,-47.64929931627,-132.4953233907,-1.065258700e-4,-54.07221596474,-51.33929383919,32.084551504084,-1.065258837e-4,-54.07221596474,-47.63550830050,-155.6931868223,-51.37172076498,84.634063940468,-51.33929383920,32.084551504110,-51.37172076497,84.634063940443,-6.357257192e-5,-9.105527240427
6.000000000000000,-46.35166844380,-141.3714793816,-1.465408161e-4,-64.88627234417,-49.75651701849,20.501799479073,-1.465408060e-4,-64.88627234417,-46.33320312700,-168.4299733244,-49.79723625111,83.621532199801,-49.75651701848,20.501799479146,-49.79723625111,83.621532199728,-9.143995165e-5,-10.92664898257
7.000000000000000,-45.37256006101,-150.4402018458,-1.885565819e-4,-75.70013655183,-48.41857832205,8.9192127754073,-1.885565351e-4,-75.70013655183,-45.34951356489,179.03719393322,-48.46542727724,82.627311476604,-48.41857832200,8.9192127754144,-48.46542727724,82.627311476596,-1.243444946e-4,-12.74777989281
8.000000000000000,-44.65621598498,-159.7297240004,-2.302752860e-4,-86.51375746729,-47.25988319795,-2.663162227519,-2.302751918e-4,-86.51375746729,-44.62903236195,166.73730668569,-47.30983245346,81.644974033413,-47.25988319785,-2.663162227559,-47.30983245346,81.644974033453,-1.623094555e-4,-14.56892151698
TERM 50.97000 0.000000 50.97000 0.000000 63.84000 0.000000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
tandelta = 0.0
t_aSi = 0.25
W = 10.0
Lcoupler = 200.0
2.000000000000000,-55.72777201823,-104.9260385036,-3.034563720e-5,-21.63590382631,-53.65226667178,66.051767238816,-3.034564097e-5,-21.63590382632,-55.71703554500,-118.4790151028,-53.65893752768,87.266603207207,-53.65226667165,66.051767238879,-53.65893752754,87.266603207156,-3.743312605e-5,-4.962936472423
